問題文,答え,メモ,ジャンル,難易度,タグ
水泳の4泳法の一つで両腕を同時に身体の前方に振り上げながらドルフィンキックで推進しエネルギー消費が最も激しいとされる泳法は何でしょう？,バタフライ,"4泳法はクロール・背泳ぎ・平泳ぎ・バタフライ。両腕を同時に水面上に振り上げて前方に回す動きと両足同時のドルフィンキックが特徴",スポーツ,1.5,"スポーツ,水泳,技"
サッカーで相手ゴールライン側からのパスを受ける瞬間に相手フィールドプレーヤーの最終ライン（最後から2番目）より前にいる状態でボールを受けた場合に宣告される反則は何でしょう？,オフサイド,"相手の最後から2番目のフィールドプレーヤーより前にいる状態がオフサイドポジション。守備を崩す不公平なプレーを防ぐルール",スポーツ,1.5,"スポーツ,サッカー,ルール"
試合前に先住民族マオリ族伝来の踊り「ハカ」を全員で行う伝統を持ちラグビーW杯で3度の優勝を誇るニュージーランド代表チームの愛称は何でしょう？,オールブラックス,"All Blacks。W杯1987・2011・2015年優勝。ハカはマオリ族の儀礼的な踊り",スポーツ,2.0,"スポーツ,ラグビー,ニュージーランド,チーム"
岩手県奥州市出身で2021年MLBシーズンに先発投手13勝・指名打者46本塁打を同時達成し「ベーブ・ルース以来100年ぶりの二刀流」と称された野球選手は誰でしょう？,大谷翔平,"現在ロサンゼルス・ドジャース所属。2023年WBC日本代表でMVPを受賞",スポーツ,1.0,"スポーツ,野球,MLB,選手"
「蹴る」を意味するマレー語と「籐の球」を意味するタイ語を組み合わせた名称を持ちネット越しに足・膝・頭などを使ってボールを打ち合うタイやマレーシアなど東南アジアで盛んな競技は何でしょう？,セパタクロー,"sepak（マレー語：蹴る）+ takro（タイ語：籐の球）。現在はプラスチック製の球が主流",スポーツ,3.0,"スポーツ,マイナー競技,東南アジア,セパタクロー"
バスケットボールでゴール下に走り込んだ選手がジャンプしながらパスを受け取りそのまま空中でダンクシュートを叩き込む豪快なプレーをフランス語の曲芸表現「allez hop!」に由来する言葉で何と呼ぶでしょう？,アリウープ,"フランス語の曲芸表現「allez hop!」が語源とされる。NBAの観客を沸かせる定番プレー",スポーツ,2.5,"スポーツ,バスケットボール,技,NBA"
カーリングで放たれたストーンの進路前方の氷面をブラシで激しくこすりストーンの速度や軌道を調整するプレーは何でしょう？,スイープ,"氷面をこすることで摩擦が減りストーンは遠くまで直進する。進行方向のわずかな調整も可能",スポーツ,2.5,"スポーツ,カーリング,技"
2009年のベルリン世界陸上で100mを9秒58・200mを19秒19で駆け抜けた両種目の世界記録保持者で「稲妻ポーズ」でも知られるジャマイカ人スプリンターは誰でしょう？,ウサイン・ボルト,"9秒58（100m）は2026年現在も世界記録。2017年の世界選手権を最後に引退",スポーツ,1.5,"スポーツ,陸上競技,選手,世界記録"
ベーブ・ルース・ルー・ゲーリッグ・ジョー・ディマジオ・デレク・ジーターなど球史の超大物を次々輩出しワールドシリーズ制覇27回というMLB最多記録を誇る米ニューヨーク・ブロンクスのチームは何でしょう？,ニューヨーク・ヤンキース,"ワールドシリーズ優勝27回はMLB最多。ホームスタジアムはヤンキー・スタジアム",スポーツ,1.5,"スポーツ,野球,MLB,チーム"
テニスで双方が40対40の同点になった際にどちらかが連続2ポイントを取るまでゲームを続ける状態を何と呼ぶでしょう？,デュース,"フランス語のdeux（2）が語源という説がある。この状態からアドバンテージをめぐる攻防が続く",スポーツ,2.0,"スポーツ,テニス,ルール"
野球で無死または一死かつ一・二塁か満塁の状況で審判が宣告することで内野手が故意に落球してダブルプレーを狙えないよう打者を自動的にアウトにするルールを何と呼ぶでしょう？,インフィールドフライ,"守備側が故意に落球してダブルプレーを取るのを防ぐためのルール。審判の宣告によって効力が生じる",スポーツ,3.0,"スポーツ,野球,ルール"
スコアリングタイトルを史上最多10回獲得しシカゴ・ブルズを6度のNBA優勝に導いた映画『スペース・ジャム』にも主演したバスケットボール史上最高選手の一人とされるのは誰でしょう？,マイケル・ジョーダン,"背番号23。スニーカーブランド「Air Jordan」を展開。1996年公開の映画「スペース・ジャム」に主演",スポーツ,1.5,"スポーツ,バスケットボール,NBA,選手"
インドを中心に南アジアで古くから親しまれ「カバディ・カバディ」と発声し続けながら相手陣に単独侵入してタッチした後タックルを受けずに帰還することを競う競技は何でしょう？,カバディ,"インドの国技とも呼ばれる。アジア競技大会の正式種目",スポーツ,2.5,"スポーツ,マイナー競技,インド,カバディ"
フィギュアスケートでトーループ・サルコウ・フリップ・ルッツ・ループ・アクセルの6種類があり現代のトップ男子選手が習得を目指す最高難度クラスのジャンプの総称は何でしょう？,4回転ジャンプ,"アクセルのみ前向き踏み切りのため実質4回転半が必要。羽生結弦などが習得",スポーツ,2.0,"スポーツ,フィギュアスケート,技"
スペイン・カタルーニャ州の文化的シンボルでもありメッシ・シャビ・イニエスタら黄金期の選手とともにUEFAチャンピオンズリーグで複数回優勝した青赤縦縞のユニフォームで知られるサッカークラブは何でしょう？,FCバルセロナ,"ホームはカンプ・ノウ。カタルーニャのシンボルでもある名門クラブ",スポーツ,1.5,"スポーツ,サッカー,チーム,スペイン"
日本球界で首位打者7連覇などを達成し2001年MLBに移籍した1年目に首位打者・新人王・最優秀選手を受賞し2004年にはシーズン最多262安打という大リーグ記録を更新した外野手は誰でしょう？,イチロー（鈴木一朗）,"2024年に国際野球殿堂入り。日米通算4367安打（公式集計）",スポーツ,1.5,"スポーツ,野球,MLB,選手"
フランス南部プロヴァンス地方発祥で金属製のボール「ブール」を投げて小さな目標球「コション」に最も近づけることで得点を競うスポーツは何でしょう？,ペタンク,"pétanqueはオクシタン語で「両足を揃えた」の意。1910年頃にラ・シオタで発案されたとされる",スポーツ,3.0,"スポーツ,ペタンク,フランス,マイナー競技"
バドミントンで相手のネット近くに落ちたシャトルをネットすれすれに弧を描くように打ち返して相手側ネット付近に落とす繊細なショットをその軌道形状にちなんで何と呼ぶでしょう？,ヘアピンショット,"ネット際の細かいショット技術。軌道がヘアピン（髪留め）の形に似ていることから命名",スポーツ,3.0,"スポーツ,バドミントン,技"
1988年ソウル五輪の背泳ぎ100mで鈴木大地が駆使し金メダルを獲得した後にあまりに有効なため国際水泳連盟がスタート・ターン後の水中移動を15m以内に制限するルール改正のきっかけとなった泳法は何でしょう？,バサロ泳法,"スペイン語で「揺れる」などの意。仰向けでドルフィンキックを用いて水中を進む",スポーツ,3.0,"スポーツ,水泳,技,背泳ぎ"
2014年ソチ・2018年平昌と冬季五輪2連覇を達成し男子シングルで世界初の4回転ループを国際大会で成功させた宮城県仙台市出身のフィギュアスケーターは誰でしょう？,羽生結弦,"2023年にプロ転向。世界記録を複数更新し「天才スケーター」とも称される",スポーツ,1.5,"スポーツ,フィギュアスケート,選手"
長嶋茂雄・王貞治の「ON砲」を擁し川上哲治監督のもと9年連続日本一（V9）を達成した日本プロ野球史上最多のリーグ優勝・日本シリーズ優勝回数を誇るセ・リーグの球団は何でしょう？,読売ジャイアンツ,"1965〜73年にV9（9年連続日本一）達成。セ・リーグ所属。ホームは東京ドーム",スポーツ,1.5,"スポーツ,野球,NPB,チーム"
3000年以上の歴史があるとされるアイルランドの国技で木製のスティック「ハーリー」でスリター（sliotar）と呼ばれる球を打ち合うGAA（ゲーリック体育協会）が管轄する世界最古級の競技は何でしょう？,ハーリング,"ゲーリック体育協会（GAA）管轄。女性版はカモジー（Camogie）と呼ばれる",スポーツ,3.5,"スポーツ,ハーリング,アイルランド,マイナー競技"
サッカーで自分の背後から来たボールに対し空中で身体を後方に倒しながら両足を交互に蹴り上げてシュートする技を自転車のペダル操作に例えた呼び名は何でしょう？,バイシクルキック,"オーバーヘッドキックとも呼ぶ。クリスティアーノ・ロナウドが2018年CL・ユベントス戦で決めた一撃が特に有名",スポーツ,2.0,"スポーツ,サッカー,技"
1991〜93年・1996〜98年の2度にわたり3連覇を達成しマイケル・ジョーダンとスコッティ・ピッペンを中心にNBAに輝かしい時代を築いたイリノイ州のバスケットボールチームは何でしょう？,シカゴ・ブルズ,"合計6度のNBA優勝。フィル・ジャクソン監督のもと2度の3連覇（シックスピート）を達成",スポーツ,2.0,"スポーツ,バスケットボール,NBA,チーム"
起源は古代ペルシャ・中央アジアにあるとされ馬に跨って長柄の木槌「マレット」でボールを打ち合う英国王室にも愛好者が多く「王侯貴族のスポーツ」とも呼ばれるチームスポーツは何でしょう？,ポロ,"世界最古のチームスポーツの一つとも言われる。1チームは4名で構成",スポーツ,2.5,"スポーツ,ポロ,マイナー競技,乗馬"
FCバルセロナで「la Pulga（ノミ）」の愛称で親しまれバロンドールを史上最多8度受賞した2022年カタールW杯でアルゼンチンを36年ぶりの世界制覇に導いてMVPにも輝いたサッカー選手は誰でしょう？,リオネル・メッシ,"バロンドール最多受賞（2023年時点で8回）。2022年FIFAワールドカップ優勝・MVP受賞",スポーツ,1.5,"スポーツ,サッカー,選手,アルゼンチン"
テニスのセットで6ゲームずつ並んだ際に先に7ポイント（2ポイント以上差をつけて）取ったほうがそのセットを取れる短縮ゲーム方式を何と呼ぶでしょう？,タイブレーク,"グランドスラム最終セットの採用ルールは大会によって異なる。先に7ポイントが基本",スポーツ,2.5,"スポーツ,テニス,ルール"
1970年代のスウェーデンで考案された室内競技で体育館でアイスホッケー似の軽量スティックを使い穴あきプラスチック球をゴールに入れる北欧を中心に人気のスポーツは何でしょう？,フロアボール,"国際フロアボール連盟（IFF）が統括。スウェーデン・フィンランドで特に人気",スポーツ,3.5,"スポーツ,フロアボール,マイナー競技,北欧"
全日本卓球選手権男子一般で2007年から2019年まで13連覇を達成し2021年東京五輪では伊藤美誠とのペアで中国を破り日本初の卓球混合ダブルス金メダルを獲得した静岡県出身の選手は誰でしょう？,水谷隼,"静岡県磐田市出身。全日本卓球選手権13連覇は前人未到の記録",スポーツ,2.0,"スポーツ,卓球,選手,日本"
ブラジル出身で「雨のセナ」と称されF1世界チャンピオンに1988・1990・1991年の3度輝きながら1994年のサンマリノGPで32歳の若さで事故死した悲劇のF1ドライバーは誰でしょう？,アイルトン・セナ,"F1通算65勝。1994年5月1日にイモラ・サーキットで事故死",スポーツ,2.0,"スポーツ,F1,モータースポーツ,選手"
